Vill_name,Kg_per_Hectare,District
handi,722.404,MANDSAUR
surkheda,691.9428125,MANDSAUR
rahimgarh,700.998039215686,MANDSAUR
belari,701.533,MANDSAUR
belara,682.628368421053,MANDSAUR
karanpura,718.268857142857,MANDSAUR
kherkheda,719.8519722222221,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
kheda,451.9908666666667,MANDSAUR
maukheda,709.771111111111,MANDSAUR
dalkhedi,707.393,MANDSAUR
semalkheda,721.941666666667,MANDSAUR
ramakhedi,767.9928,MANDSAUR
dharakhedi,721.257666666667,MANDSAUR
morkheda,701.692625,MANDSAUR
dammakhedi,722.541285714286,MANDSAUR
khatrukhedi,701.9834,MANDSAUR
jetpura,707.5035,MANDSAUR
dalawada,696.02423255814,MANDSAUR
muwala,628.345238095238,MANDSAUR
rajnagar,664.950666666667,MANDSAUR
bharpur,735.141555555555,MANDSAUR
borkhedi,680.70125,MANDSAUR
dhodhar,685.80025,MANDSAUR
bangli,705.926857142857,MANDSAUR
dhanwada,715.315615384616,MANDSAUR
pratappura,651.585285714286,MANDSAUR
hanspura,636.189,MANDSAUR
hanumantiya,655.014914285714,MANDSAUR
gordhanpura,732.038875,MANDSAUR
kanaheda,699.719818181818,MANDSAUR
jagdi,646.7524,MANDSAUR
nathukhedi,719.801,MANDSAUR
tarnod,657.301285714286,MANDSAUR
semli,679.532755102041,MANDSAUR
ghasoi,764.256818181818,MANDSAUR
dhakadkhedi,716.413454545455,MANDSAUR
gelana,691.501272727273,MANDSAUR
lakhwa,610.144,MANDSAUR
dhankhedi,640.88,MANDSAUR
dhablamahesh,688.0061539130817,
ruparel,711.3418,MANDSAUR
basai,705.607,MANDSAUR
haripura,682.742272727273,MANDSAUR
sindpan,688.887815789474,MANDSAUR
multanpura,688.0061539130817,
lalghati,601.63355,MANDSAUR
bolkheda,710.8454,MANDSAUR
changli,462.76075,MANDSAUR
itayali,536.671857142857,MANDSAUR
bohrakhedi,669.007,MANDSAUR
mohammadpura,688.0061539130817,
bajkhedi,666.382333333333,MANDSAUR
setkhedi,597.49596969697,MANDSAUR
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
rasulpur,497.0377777777778,BARABANKI
dhakadkhedi,716.413454545455,MANDSAUR
kayamkheda,688.0061539130817,
khilchipura,689.606,MANDSAUR
rajakhedi,680.722,MANDSAUR
ralayata,615.016345454546,MANDSAUR
khedi,698.073,MANDSAUR
jhalara,712.254142857143,MANDSAUR
abakhedi,655.976,MANDSAUR
nahargarh,690.646551724138,MANDSAUR
khanukheda,732.258857142857,MANDSAUR
kuntakhedi,690.93725,MANDSAUR
khetakheda,663.06947826087,MANDSAUR
bankli,654.448157894737,MANDSAUR
barukheda,718.177,MANDSAUR
ramgarh,684.149875,MANDSAUR
payakhedi,740.100625,MANDSAUR
panpur,658.85693220339,MANDSAUR
karadiya,636.1926,MANDSAUR
bhatkhedi,736.0155,MANDSAUR
bajkhedi,666.382333333333,MANDSAUR
motipura,713.536344827586,MANDSAUR
sultaniya,735.693,MANDSAUR
betikhedi,707.079333333333,MANDSAUR
kachnari,755.57025,MANDSAUR
kachnara,717.418055555556,MANDSAUR
kelukhedi,741.621083333333,MANDSAUR
halukhedi,778.7009,MANDSAUR
bhilyakhedi,727.3205,MANDSAUR
risthal,700.5004,MANDSAUR
kayampur,723.615190476191,MANDSAUR
rajakhedi,680.722,MANDSAUR
nataram,645.690872340426,MANDSAUR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ADAVANIYA,828.788,RATLAM
BADAYLAMATA,723.959,RATLAM
BADODA,671.1510909,RATLAM
BARBODNA,785.8723333,RATLAM
BARGAD-I,690.6759375,RATLAM
BARGAD-II,678.7431,RATLAM
BARKHEDI,712.1219189,RATLAM
BHADWASA,744.368,RATLAM
BHARODA,753.679,RATLAM
BHATKHEDA,721.3413158,RATLAM
BODINA,747.931,RATLAM
DHOSWAS,697.232,RATLAM
DIVEL,720.7,RATLAM
GHATWAS,696.726,RATLAM
HARIYAKHEDA,700.76796,RATLAM
HARSOLA,724.444,RATLAM
JADWASA,721.8561346,RATLAM
JADWASAKALA,740.4395,RATLAM
JADWASAKHURD,762.004,RATLAM
KALOLIKHURD,606.2,RATLAM
KANDARWASA,732.3466774,RATLAM
KARIYA,715.2615385,RATLAM
KHEDI,722.3626667,RATLAM
MANANKHEDA,703.377913,RATLAM
MEWASA,683.2705,RATLAM
NAMLI,699.704,RATLAM
NOGAWAKALA,762.2715,RATLAM
PALDUNA,747.0442,RATLAM
PALSODA,950.2115,RATLAM
PANCHED,767.821,RATLAM
PINGRALA,735.185,RATLAM
PIPALKHUNTA,711.1258667,RATLAM
RANAYARA-I,677.7297174,RATLAM
RANAYARA-II,643.1076111,RATLAM
RICHADEVDA,668.2716875,RATLAM
RUGNATHGAD,617.1852,RATLAM
SAILANA,796.0450385,RATLAM
SEEKHEDI,677.271125,RATLAM
SEMALKHEDI,807.4246667,RATLAM
SEMLIYA,580.8276667,RATLAM
UPARWADA,717.3367368,RATLAM
